question,answer,group,bm25_text
How do I extend my CoE?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

steps to apply for a CoE Extension:
-Extend your Overseas Student Health Cover (OSHC)
Contact your current or an alternate Overseas Student Health Cover (OSHC) Provider (UC's preferred healthcare provider is Allianz Care Australia - to arrange your OSHC with Allianz Care Australia click here) to obtain a new OSHC policy to match the length of your anticipated visa. If the duration of your new course is less than 10 months, add one extra month to OSHC. If your course is more than 10 months, add two months extra OSHC. If the course is more than 10 months and finishes at the end of the academic year in November/December, OSHC should be provided to 15 March the following year. Higher Degree by Research (HDR) students should extend six months on top of their submission date.
-Have an approved & current study plan
Access this through MyUC(https://www.canberra.edu.au/content/myuc/home/course/course-advice/study-plan.html) or reach out to your Faculty. Contact information can be found in MyUC.
-Make sure your enrolment reflects your approved study plan
-Finalise all outstanding tuition fees by Friday of Week 1
-Complete this online form(https://www.canberra.edu.au/content/myuc/home/course/course-changes/confirmation-of-enrolment-coe-request.html)
HDR students will also need to attach an Intention to Submit Thesis for Examination form confirming your new completion date.

Acceptable reasons for requiring a CoE extension are:
-complying with an intervention strategy (please see below)
-changing to a student visa
-compassionate or compelling circumstances
-course structure (e.g. pre-requisite units not available)
-require extra time to complete thesis for submission and examination",,how do i extend my coe
What steps should I take to request an extension for my Confirmation of Enrolment?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

steps to apply for a CoE Extension:
-Extend your Overseas Student Health Cover (OSHC)
Contact your current or an alternate Overseas Student Health Cover (OSHC) Provider (UC's preferred healthcare provider is Allianz Care Australia - to arrange your OSHC with Allianz Care Australia click here) to obtain a new OSHC policy to match the length of your anticipated visa. If the duration of your new course is less than 10 months, add one extra month to OSHC. If your course is more than 10 months, add two months extra OSHC. If the course is more than 10 months and finishes at the end of the academic year in November/December, OSHC should be provided to 15 March the following year. Higher Degree by Research (HDR) students should extend six months on top of their submission date.
-Have an approved & current study plan
Access this through MyUC(https://www.canberra.edu.au/content/myuc/home/course/course-advice/study-plan.html) or reach out to your Faculty. Contact information can be found in MyUC.
-Make sure your enrolment reflects your approved study plan
-Finalise all outstanding tuition fees by Friday of Week 1
-Complete this online form(https://www.canberra.edu.au/content/myuc/home/course/course-changes/confirmation-of-enrolment-coe-request.html)
HDR students will also need to attach an Intention to Submit Thesis for Examination form confirming your new completion date.

Acceptable reasons for requiring a CoE extension are:
-complying with an intervention strategy (please see below)
-changing to a student visa
-compassionate or compelling circumstances
-course structure (e.g. pre-requisite units not available)
-require extra time to complete thesis for submission and examination",,what steps should i take to request an extension for my confirmation of enrolment
could you guide me on the process to extend my CoE?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

steps to apply for a CoE Extension:
-Extend your Overseas Student Health Cover (OSHC)
Contact your current or an alternate Overseas Student Health Cover (OSHC) Provider (UC's preferred healthcare provider is Allianz Care Australia - to arrange your OSHC with Allianz Care Australia click here) to obtain a new OSHC policy to match the length of your anticipated visa. If the duration of your new course is less than 10 months, add one extra month to OSHC. If your course is more than 10 months, add two months extra OSHC. If the course is more than 10 months and finishes at the end of the academic year in November/December, OSHC should be provided to 15 March the following year. Higher Degree by Research (HDR) students should extend six months on top of their submission date.
-Have an approved & current study plan
Access this through MyUC(https://www.canberra.edu.au/content/myuc/home/course/course-advice/study-plan.html) or reach out to your Faculty. Contact information can be found in MyUC.
-Make sure your enrolment reflects your approved study plan
-Finalise all outstanding tuition fees by Friday of Week 1
-Complete this online form(https://www.canberra.edu.au/content/myuc/home/course/course-changes/confirmation-of-enrolment-coe-request.html)
HDR students will also need to attach an Intention to Submit Thesis for Examination form confirming your new completion date.

Acceptable reasons for requiring a CoE extension are:
-complying with an intervention strategy (please see below)
-changing to a student visa
-compassionate or compelling circumstances
-course structure (e.g. pre-requisite units not available)
-require extra time to complete thesis for submission and examination",,could you guide me on the process to extend my coe
I need to prolong my Confirmation of Enrolment. How can I do that?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

steps to apply for a CoE Extension:
-Extend your Overseas Student Health Cover (OSHC)
Contact your current or an alternate Overseas Student Health Cover (OSHC) Provider (UC's preferred healthcare provider is Allianz Care Australia - to arrange your OSHC with Allianz Care Australia click here) to obtain a new OSHC policy to match the length of your anticipated visa. If the duration of your new course is less than 10 months, add one extra month to OSHC. If your course is more than 10 months, add two months extra OSHC. If the course is more than 10 months and finishes at the end of the academic year in November/December, OSHC should be provided to 15 March the following year. Higher Degree by Research (HDR) students should extend six months on top of their submission date.
-Have an approved & current study plan
Access this through MyUC(https://www.canberra.edu.au/content/myuc/home/course/course-advice/study-plan.html) or reach out to your Faculty. Contact information can be found in MyUC.
-Make sure your enrolment reflects your approved study plan
-Finalise all outstanding tuition fees by Friday of Week 1
-Complete this online form(https://www.canberra.edu.au/content/myuc/home/course/course-changes/confirmation-of-enrolment-coe-request.html)
HDR students will also need to attach an Intention to Submit Thesis for Examination form confirming your new completion date.

Acceptable reasons for requiring a CoE extension are:
-complying with an intervention strategy (please see below)
-changing to a student visa
-compassionate or compelling circumstances
-course structure (e.g. pre-requisite units not available)
-require extra time to complete thesis for submission and examination",,i need to prolong my confirmation of enrolment how can i do that
What is the procedure for applying for an extension of my CoE?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

steps to apply for a CoE Extension:
-Extend your Overseas Student Health Cover (OSHC)
Contact your current or an alternate Overseas Student Health Cover (OSHC) Provider (UC's preferred healthcare provider is Allianz Care Australia - to arrange your OSHC with Allianz Care Australia click here) to obtain a new OSHC policy to match the length of your anticipated visa. If the duration of your new course is less than 10 months, add one extra month to OSHC. If your course is more than 10 months, add two months extra OSHC. If the course is more than 10 months and finishes at the end of the academic year in November/December, OSHC should be provided to 15 March the following year. Higher Degree by Research (HDR) students should extend six months on top of their submission date.
-Have an approved & current study plan
Access this through MyUC(https://www.canberra.edu.au/content/myuc/home/course/course-advice/study-plan.html) or reach out to your Faculty. Contact information can be found in MyUC.
-Make sure your enrolment reflects your approved study plan
-Finalise all outstanding tuition fees by Friday of Week 1
-Complete this online form(https://www.canberra.edu.au/content/myuc/home/course/course-changes/confirmation-of-enrolment-coe-request.html)
HDR students will also need to attach an Intention to Submit Thesis for Examination form confirming your new completion date.

Acceptable reasons for requiring a CoE extension are:
-complying with an intervention strategy (please see below)
-changing to a student visa
-compassionate or compelling circumstances
-course structure (e.g. pre-requisite units not available)
-require extra time to complete thesis for submission and examination",,what is the procedure for applying for an extension of my coe
How can I go about getting my Confirmation of Enrolment extended?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

steps to apply for a CoE Extension:
-Extend your Overseas Student Health Cover (OSHC)
Contact your current or an alternate Overseas Student Health Cover (OSHC) Provider (UC's preferred healthcare provider is Allianz Care Australia - to arrange your OSHC with Allianz Care Australia click here) to obtain a new OSHC policy to match the length of your anticipated visa. If the duration of your new course is less than 10 months, add one extra month to OSHC. If your course is more than 10 months, add two months extra OSHC. If the course is more than 10 months and finishes at the end of the academic year in November/December, OSHC should be provided to 15 March the following year. Higher Degree by Research (HDR) students should extend six months on top of their submission date.
-Have an approved & current study plan
Access this through MyUC(https://www.canberra.edu.au/content/myuc/home/course/course-advice/study-plan.html) or reach out to your Faculty. Contact information can be found in MyUC.
-Make sure your enrolment reflects your approved study plan
-Finalise all outstanding tuition fees by Friday of Week 1
-Complete this online form(https://www.canberra.edu.au/content/myuc/home/course/course-changes/confirmation-of-enrolment-coe-request.html)
HDR students will also need to attach an Intention to Submit Thesis for Examination form confirming your new completion date.

Acceptable reasons for requiring a CoE extension are:
-complying with an intervention strategy (please see below)
-changing to a student visa
-compassionate or compelling circumstances
-course structure (e.g. pre-requisite units not available)
-require extra time to complete thesis for submission and examination",,how can i go about getting my confirmation of enrolment extended
How to apply for a Student Visa Extension?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

Please note: this request also applies to current students who wish to apply for a student visa and currently hold an alternate visa, e.g. a diplomatic or temporary visa.
UC encourages students to start the process of extending your Student visa within four months of your current visa expiring. It is important to always be aware of the expiry date of your visa, and that you must apply for a new visa before your current visa expires.

All students are encouraged to apply for a new Student visa onshore, i.e. in Australia. Applying offshore may result in delays and prevent you from returning to Australia in time to recommence your studies.

After sucessfully extending you CoE a Student visa application can be lodged online via your ImmiAccount (https://online.immi.gov.au/lusc/login). Further information about applying for a new Student visa can be found on the Department of Home Affairs' (Immigration & Citizenship) website(https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500).",,how to apply for a student visa extension
What is the process for extending my student visa?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

Please note: this request also applies to current students who wish to apply for a student visa and currently hold an alternate visa, e.g. a diplomatic or temporary visa.
UC encourages students to start the process of extending your Student visa within four months of your current visa expiring. It is important to always be aware of the expiry date of your visa, and that you must apply for a new visa before your current visa expires.

All students are encouraged to apply for a new Student visa onshore, i.e. in Australia. Applying offshore may result in delays and prevent you from returning to Australia in time to recommence your studies.

After sucessfully extending you CoE a Student visa application can be lodged online via your ImmiAccount (https://online.immi.gov.au/lusc/login). Further information about applying for a new Student visa can be found on the Department of Home Affairs' (Immigration & Citizenship) website(https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500).",,what is the process for extending my student visa
Can you guide me on how to apply for a student visa extension?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

Please note: this request also applies to current students who wish to apply for a student visa and currently hold an alternate visa, e.g. a diplomatic or temporary visa.
UC encourages students to start the process of extending your Student visa within four months of your current visa expiring. It is important to always be aware of the expiry date of your visa, and that you must apply for a new visa before your current visa expires.

All students are encouraged to apply for a new Student visa onshore, i.e. in Australia. Applying offshore may result in delays and prevent you from returning to Australia in time to recommence your studies.

After sucessfully extending you CoE a Student visa application can be lodged online via your ImmiAccount (https://online.immi.gov.au/lusc/login). Further information about applying for a new Student visa can be found on the Department of Home Affairs' (Immigration & Citizenship) website(https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500).",,can you guide me on how to apply for a student visa extension
I need to extend my student visa. What steps should I follow?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

Please note: this request also applies to current students who wish to apply for a student visa and currently hold an alternate visa, e.g. a diplomatic or temporary visa.
UC encourages students to start the process of extending your Student visa within four months of your current visa expiring. It is important to always be aware of the expiry date of your visa, and that you must apply for a new visa before your current visa expires.

All students are encouraged to apply for a new Student visa onshore, i.e. in Australia. Applying offshore may result in delays and prevent you from returning to Australia in time to recommence your studies.

After sucessfully extending you CoE a Student visa application can be lodged online via your ImmiAccount (https://online.immi.gov.au/lusc/login). Further information about applying for a new Student visa can be found on the Department of Home Affairs' (Immigration & Citizenship) website(https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500).",,i need to extend my student visa what steps should i follow
Could you explain how to go about getting a student visa extension?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

Please note: this request also applies to current students who wish to apply for a student visa and currently hold an alternate visa, e.g. a diplomatic or temporary visa.
UC encourages students to start the process of extending your Student visa within four months of your current visa expiring. It is important to always be aware of the expiry date of your visa, and that you must apply for a new visa before your current visa expires.

All students are encouraged to apply for a new Student visa onshore, i.e. in Australia. Applying offshore may result in delays and prevent you from returning to Australia in time to recommence your studies.

After sucessfully extending you CoE a Student visa application can be lodged online via your ImmiAccount (https://online.immi.gov.au/lusc/login). Further information about applying for a new Student visa can be found on the Department of Home Affairs' (Immigration & Citizenship) website(https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500).",,could you explain how to go about getting a student visa extension
What are the necessary procedures for applying to extend my student visa?,"If you are an international student who needs to apply for a new student visa to extend your stay onshore to complete your study in Australia, you will need to apply for a Confirmation of Enrolment (CoE) extension.

Please note: this request also applies to current students who wish to apply for a student visa and currently hold an alternate visa, e.g. a diplomatic or temporary visa.
UC encourages students to start the process of extending your Student visa within four months of your current visa expiring. It is important to always be aware of the expiry date of your visa, and that you must apply for a new visa before your current visa expires.

All students are encouraged to apply for a new Student visa onshore, i.e. in Australia. Applying offshore may result in delays and prevent you from returning to Australia in time to recommence your studies.

After sucessfully extending you CoE a Student visa application can be lodged online via your ImmiAccount (https://online.immi.gov.au/lusc/login). Further information about applying for a new Student visa can be found on the Department of Home Affairs' (Immigration & Citizenship) website(https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500).",,what are the necessary procedures for applying to extend my student visa
Can I get medical certificate at UC?,"If you’ve requested an extension for an assessment because of illness, teaching staff may ask you to provide a certificate.

The doctors and psychiatrist at the Medical and Counselling Centre can provide medical certificates if you're injured or ill and need time away from your studies or job to recover.Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,can i get medical certificate at uc
Is it possible to obtain a medical certificate through the University of Canberra's health services?,"If you’ve requested an extension for an assessment because of illness, teaching staff may ask you to provide a certificate.

The doctors and psychiatrist at the Medical and Counselling Centre can provide medical certificates if you're injured or ill and need time away from your studies or job to recover.Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,is it possible to obtain a medical certificate through the university of canberra s health services
"Can you tell me how to get a medical certificate at UC?""
""What's the process for acquiring a medical certificate from the University of Canberra?","If you’ve requested an extension for an assessment because of illness, teaching staff may ask you to provide a certificate.

The doctors and psychiatrist at the Medical and Counselling Centre can provide medical certificates if you're injured or ill and need time away from your studies or job to recover.Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,can you tell me how to get a medical certificate at uc what s the process for acquiring a medical certificate from the university of canberra
I need a medical certificate. Does UC provide this service?,"If you’ve requested an extension for an assessment because of illness, teaching staff may ask you to provide a certificate.

The doctors and psychiatrist at the Medical and Counselling Centre can provide medical certificates if you're injured or ill and need time away from your studies or job to recover.Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,i need a medical certificate does uc provide this service
How can I request a medical certificate from the health facilities at the University of Canberra?,"If you’ve requested an extension for an assessment because of illness, teaching staff may ask you to provide a certificate.

The doctors and psychiatrist at the Medical and Counselling Centre can provide medical certificates if you're injured or ill and need time away from your studies or job to recover.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,how can i request a medical certificate from the health facilities at the university of canberra
Can I get prescription from UC?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,can i get prescription from uc
How can I get a medical prescription through UC's health services?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,how can i get a medical prescription through uc s health services
Could you guide me on the process of obtaining a prescription at UC?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,could you guide me on the process of obtaining a prescription at uc
I need a medical prescription. Does the University of Canberra offer this service?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,i need a medical prescription does the university of canberra offer this service
Can I vaccination at UC?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,can i vaccination at uc
"""Does the University of Canberra offer vaccination services to students?","If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,does the university of canberra offer vaccination services to students
Can I get vaccinated at UC's health center?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,can i get vaccinated at uc s health center
What is the process for obtaining vaccinations at the University of Canberra?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,what is the process for obtaining vaccinations at the university of canberra
What health services does UC health provide?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,what health services does uc health provide
What range of medical services does the University of Canberra's health center provide?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,what range of medical services does the university of canberra s health center provide
I'm interested in knowing about the healthcare services available at UC Health. What do they include?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,i m interested in knowing about the healthcare services available at uc health what do they include
Could you inform me about the various health services provided by UC Health?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,could you inform me about the various health services provided by uc health
Can I go for a health checkup at UC?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,can i go for a health checkup at uc
Can you tell me if UC offers health checkup services for students?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,can you tell me if uc offers health checkup services for students
I need a health checkup. Does the University of Canberra provide this service?,"If you’re unwell, need a prescription, vaccination, referral to a specialist, minor medical procedure or a general health check, make an appointment with one of the doctors at the Medical and Counselling Centre.

Don’t wait until you're seriously unwell to see a doctor or one of our other medical professionals – the earlier you see someone the better.

Make a doctor's appointment

You can make an appointment with a Medical and Counselling Centre doctor online.

-[to make an appointment](https://www.hotdoc.com.au/medical-centres/bruce-ACT-2617/university-of-canberra/doctors)",,i need a health checkup does the university of canberra provide this service
How to enrol in a unit?,"To enrol your units for the current semester or trimester you can:

-[login to MyUc] and navigate to unit enrolment or you can go to (https://www.canberra.edu.au/content/myuc/home/enrolment/unit-enrolment.html)
-On the enrolment page you will see View study plan. There you will see list of units you need to enrol as per your studyplan
-you need to click on the plus(+) icon to enrol in the unit
-if you are enrolling manually then you need to search the unit code you need to enrol. your unit will show up in the list and you can then enrol in it.
-you need to make sure to check eligibility and prerequistes for the unit.
-if you dont see anything on the View Studyplan then you can navigate to View course requirements and see the requirements for your course. This includes your required units, restricted choice, and open electives with their respective credit points needed to be completed.

if your unsure about the course requirements then you can email your faculty for a studyplan. they will then give a studyplan for you to follow.",,how to enrol in a unit
What is the procedure for signing up for a course unit?,"To enrol your units for the current semester or trimester you can:

-[login to MyUc] and navigate to unit enrolment or you can go to (https://www.canberra.edu.au/content/myuc/home/enrolment/unit-enrolment.html)
-On the enrolment page you will see View study plan. There you will see list of units you need to enrol as per your studyplan
-you need to click on the plus(+) icon to enrol in the unit
-if you are enrolling manually then you need to search the unit code you need to enrol. your unit will show up in the list and you can then enrol in it.
-you need to make sure to check eligibility and prerequistes for the unit.
-if you dont see anything on the View Studyplan then you can navigate to View course requirements and see the requirements for your course. This includes your required units, restricted choice, and open electives with their respective credit points needed to be completed.

if your unsure about the course requirements then you can email your faculty for a studyplan. they will then give a studyplan for you to follow.",,what is the procedure for signing up for a course unit
I'm looking to enrol in a unit. How should I go about it?,"To enrol your units for the current semester or trimester you can:

-[login to MyUc] and navigate to unit enrolment or you can go to (https://www.canberra.edu.au/content/myuc/home/enrolment/unit-enrolment.html)
-On the enrolment page you will see View study plan. There you will see list of units you need to enrol as per your studyplan
-you need to click on the plus(+) icon to enrol in the unit
-if you are enrolling manually then you need to search the unit code you need to enrol. your unit will show up in the list and you can then enrol in it.
-you need to make sure to check eligibility and prerequistes for the unit.
-if you dont see anything on the View Studyplan then you can navigate to View course requirements and see the requirements for your course. This includes your required units, restricted choice, and open electives with their respective credit points needed to be completed.

if your unsure about the course requirements then you can email your faculty for a studyplan. they will then give a studyplan for you to follow.",,i m looking to enrol in a unit how should i go about it
Could you explain the steps to take for unit enrolment in a university?,"To enrol your units for the current semester or trimester you can:

-[login to MyUc] and navigate to unit enrolment or you can go to (https://www.canberra.edu.au/content/myuc/home/enrolment/unit-enrolment.html)
-On the enrolment page you will see View study plan. There you will see list of units you need to enrol as per your studyplan
-you need to click on the plus(+) icon to enrol in the unit
-if you are enrolling manually then you need to search the unit code you need to enrol. your unit will show up in the list and you can then enrol in it.
-you need to make sure to check eligibility and prerequistes for the unit.
-if you dont see anything on the View Studyplan then you can navigate to View course requirements and see the requirements for your course. This includes your required units, restricted choice, and open electives with their respective credit points needed to be completed.

if your unsure about the course requirements then you can email your faculty for a studyplan. they will then give a studyplan for you to follow.",,could you explain the steps to take for unit enrolment in a university
What are the necessary actions to take to enrol in a university course unit?,"To enrol your units for the current semester or trimester you can:

-[login to MyUc] and navigate to unit enrolment or you can go to (https://www.canberra.edu.au/content/myuc/home/enrolment/unit-enrolment.html)
-On the enrolment page you will see View study plan. There you will see list of units you need to enrol as per your studyplan
-you need to click on the plus(+) icon to enrol in the unit
-if you are enrolling manually then you need to search the unit code you need to enrol. your unit will show up in the list and you can then enrol in it.
-you need to make sure to check eligibility and prerequistes for the unit.
-if you dont see anything on the View Studyplan then you can navigate to View course requirements and see the requirements for your course. This includes your required units, restricted choice, and open electives with their respective credit points needed to be completed.

if your unsure about the course requirements then you can email your faculty for a studyplan. they will then give a studyplan for you to follow.",,what are the necessary actions to take to enrol in a university course unit
what do I need to do after I enroled in a Unit?,"After you enrol
Pay your fees
Pay or defer your course and student services and amenities fees.
Pay your fees[page](https://www.canberra.edu.au/content/myuc/home/fees-and-scholarships/fees.html)

Build your timetable
Choose the lectures, tutorials and laboratories for your enrolled units.
Create your timetable[page](https://www.canberra.edu.au/content/myuc/home/enrolment/timetable.html)

View current study
Access the information and tools you need to complete your enrolled units.
Go to current study[page](https://www.canberra.edu.au/content/myuc/home/my-studies/current-study.html)",,what do i need to do after i enroled in a unit
What are the next steps I should follow once I've enrolled in a unit?,"After you enrol
Pay your fees
Pay or defer your course and student services and amenities fees.
Pay your fees [page](https://www.canberra.edu.au/content/myuc/home/fees-and-scholarships/fees.html)

Build your timetable
Choose the lectures, tutorials and laboratories for your enrolled units.
Create your timetable[page](https://www.canberra.edu.au/content/myuc/home/enrolment/timetable.html)

View current study
Access the information and tools you need to complete your enrolled units.
Go to current study[page](https://www.canberra.edu.au/content/myuc/home/my-studies/current-study.html)",,what are the next steps i should follow once i ve enrolled in a unit
Can you outline the actions I need to take after registering for a university course unit?,"After you enrol
Pay your fees
Pay or defer your course and student services and amenities fees.
Pay your fees[page] (https://www.canberra.edu.au/content/myuc/home/fees-and-scholarships/fees.html)

Build your timetable
Choose the lectures, tutorials and laboratories for your enrolled units.
Create your timetable[page](https://www.canberra.edu.au/content/myuc/home/enrolment/timetable.html)

View current study
Access the information and tools you need to complete your enrolled units.
Go to current study[page](https://www.canberra.edu.au/content/myuc/home/my-studies/current-study.html)",,can you outline the actions i need to take after registering for a university course unit
